fx,fy,tx,ty,route_number,distance,duration
-77.0172465,38.8904955,-77.0682,38.916442,"43",627.1,199.2
-77.033234,38.892244,-77.017247,38.890496,"44",4729.1,1301.7
-76.99523449,38.88409515,-77.005483,38.905697,"45",4825.5,1292.9
-77.032427,38.888553,-76.99602306,38.92240364,"46",6295.9,1638.7
-77.037413,38.879819,-76.988355,38.890461,"47",1999.3,713.4
-77.049383,38.890539,-77.04062,38.917761,"48",3081.2,805.9
-77.0178975,38.876697,-77.049437,38.888255,"49",5988.1,1591.4
-77.03442693,38.90980063,-77.039511,38.865029,"50",5504.7,1604.3
-77.041829,38.911268,-77.032427,38.8885525,"51",3586.8,962.3
-77.00493,38.89696,-77.038252,38.915544,"52",3401.2,938.9
-77.06714,38.896553,-76.998347,38.899972,"53",6195.8,1531.8
-77.026013,38.893028,-77.02305436,38.8786936,"54",3148,867.7
-77.071652,38.90774,-77.038325,38.888097,"55",4702.1,1270.3
-77.071652,38.90774,-77.032427,38.8885525,"56",4163.9,1097.7
-77.037413,38.879819,-76.9862,38.8803,"57",7031.8,1833.8
-77.0494365,38.888255,-76.994749,38.897274,"58",2214.4,640.5
-77.02277,38.90864,-77.039511,38.865029,"59",4358.3,1153.9
-77.0172465,38.8904955,-77.04062,38.917761,"60",4804.9,1244.2
-76.99602306,38.92240364,-77.065246,38.905509,"61",5282.6,1486.9
-77.00069815,38.90731645,-77.0494365,38.888255,"62",5639,1499
-77.039511,38.865029,-77.04657,38.88412,"63",6549.4,1608.6
-77.0178975,38.876697,-77.049383,38.890539,"64",4525.7,1200.5
-77.038252,38.915544,-77.019027,38.90304,"65",7033,1788.5
-77.049437,38.888255,-77.0494365,38.888255,"66",6056,1645.5
-77.0444,38.9101,-77.02305436,38.8786936,"67",3475.8,838.5
-77.056887,38.905126,-77.05323,38.858971,"68",3897.3,1011.3
-77.037413,38.879819,-77.050046,38.923583,"69",2780.2,767.4
-76.983683,38.915604,-77.049383,38.890539,"70",0,0
-76.998347,38.899972,-77.0387,38.9121,"71",4674.9,1246.8
